Vorname;Nachname;E-Mail;Klasse;Benutzername;Passwort;Titel;Raumnummer;Raumname
Jakob;Álvarez;jakob.álvarez@lehrer.de;10c;jakob.álvarez;password;StD;R183;Sprechzimmer
Wilhelm;Martínez;wilhelm.martínez@lehrer.de;5a;wilhelm.martínez;password;;R163;Sprechzimmer
Jakob;Castellanos;jakob.castellanos@lehrer.de;12c;jakob.castellanos;password;;R228;Sprechzimmer
Hedwig;Montalbán;hedwig.montalbán@lehrer.de;5b;hedwig.montalbán;password;Mag.;R218;Sprechzimmer
Helga;Quintana;helga.quintana@lehrer.de;5c;helga.quintana;password;;R257;Sprechzimmer
Wilhelm;Serrano;wilhelm.serrano@lehrer.de;11c;wilhelm.serrano;password;Dr.;R215;Sprechzimmer
Dorothea;Esquivel;dorothea.esquivel@lehrer.de;12a;dorothea.esquivel;password;;R183;Sprechzimmer
Jakob;Espinosa;jakob.espinosa@lehrer.de;10a;jakob.espinosa;password;;R248;Sprechzimmer
Dorothea;von Breytenbach;dorothea.von breytenbach@lehrer.de;8c;dorothea.von breytenbach;password;Mag.;R106;Sprechzimmer
Otto;Müllhausen;otto.müllhausen@lehrer.de;7b;otto.müllhausen;password;;R187;Sprechzimmer
Wilhelm;Reyes;wilhelm.reyes@lehrer.de;9a;wilhelm.reyes;password;Mag.;R281;Sprechzimmer
Jakob;Esquivel;jakob.esquivel@lehrer.de;9a;jakob.esquivel;password;;R212;Sprechzimmer
Paula;García;paula.garcía@lehrer.de;11b;paula.garcía;password;;R291;Sprechzimmer
Wilhelm;Sáez;wilhelm.sáez@lehrer.de;10c;wilhelm.sáez;password;Mag.;R247;Sprechzimmer
Hedwig;Zambrano;hedwig.zambrano@lehrer.de;7a;hedwig.zambrano;password;;R294;Sprechzimmer
Erwin;Fernández;erwin.fernández@lehrer.de;12c;erwin.fernández;password;;R243;Sprechzimmer
Mathilde;Moreau;mathilde.moreau@lehrer.de;9c;mathilde.moreau;password;;R209;Sprechzimmer
Paula;Müllhausen;paula.müllhausen@lehrer.de;12a;paula.müllhausen;password;;R156;Sprechzimmer
Otto;de la Cruz;otto.de la cruz@lehrer.de;10c;otto.de la cruz;password;;R290;Sprechzimmer
Siegfried;Blanchard;siegfried.blanchard@lehrer.de;5b;siegfried.blanchard;password;Mag.;R120;Sprechzimmer
Adelheid;Waldorf;adelheid.waldorf@lehrer.de;7b;adelheid.waldorf;password;;R177;Sprechzimmer
Bernhard;Serrano;bernhard.serrano@lehrer.de;12b;bernhard.serrano;password;;R246;Sprechzimmer
Gustav;de Montigny;gustav.de montigny@lehrer.de;8c;gustav.de montigny;password;;R298;Sprechzimmer
Erwin;Waldorf;erwin.waldorf@lehrer.de;8a;erwin.waldorf;password;;R281;Sprechzimmer
Theodor;Hollstein;theodor.hollstein@lehrer.de;6a;theodor.hollstein;password;Dr.;R252;Sprechzimmer
Karl;Pascal;karl.pascal@lehrer.de;5a;karl.pascal;password;;R201;Sprechzimmer
Jakob;León;jakob.león@lehrer.de;6c;jakob.león;password;;R171;Sprechzimmer
Bernhard;Dumont;bernhard.dumont@lehrer.de;8c;bernhard.dumont;password;Mag.;R176;Sprechzimmer
Adelheid;Dubreuil;adelheid.dubreuil@lehrer.de;5c;adelheid.dubreuil;password;;R282;Sprechzimmer
Karl;de la Cruz;karl.de la cruz@lehrer.de;7c;karl.de la cruz;password;;R213;Sprechzimmer
Rüdiger;Escudero;rüdiger.escudero@lehrer.de;6a;rüdiger.escudero;password;;R181;Sprechzimmer
Gustav;Dubreuil;gustav.dubreuil@lehrer.de;7b;gustav.dubreuil;password;Dr.;R209;Sprechzimmer
Siegfried;Boucher;siegfried.boucher@lehrer.de;10b;siegfried.boucher;password;;R132;Sprechzimmer
Jakob;Beaumont;jakob.beaumont@lehrer.de;5b;jakob.beaumont;password;StD;R126;Sprechzimmer
Helga;Chávez;helga.chávez@lehrer.de;8a;helga.chávez;password;;R216;Sprechzimmer
Wilhelm;Villeneuve;wilhelm.villeneuve@lehrer.de;11c;wilhelm.villeneuve;password;Mag.;R105;Sprechzimmer
Conrad;Pascal;conrad.pascal@lehrer.de;8c;conrad.pascal;password;;R204;Sprechzimmer
Adelheid;Montalbán;adelheid.montalbán@lehrer.de;10a;adelheid.montalbán;password;;R239;Sprechzimmer
Hedwig;Martínez;hedwig.martínez@lehrer.de;11c;hedwig.martínez;password;StD;R276;Sprechzimmer
Erwin;de Montigny;erwin.de montigny@lehrer.de;7c;erwin.de montigny;password;;R253;Sprechzimmer
Paula;Castellanos;paula.castellanos@lehrer.de;5c;paula.castellanos;password;Mag.;R283;Sprechzimmer
Frieda;Boucher;frieda.boucher@lehrer.de;6a;frieda.boucher;password;;R229;Sprechzimmer
Karl;Martínez;karl.martínez@lehrer.de;8a;karl.martínez;password;;R147;Sprechzimmer
Helga;Reyes;helga.reyes@lehrer.de;5a;helga.reyes;password;Dr.;R179;Sprechzimmer
Helga;Ortega;helga.ortega@lehrer.de;12a;helga.ortega;password;;R258;Sprechzimmer
Frieda;Zambrano;frieda.zambrano@lehrer.de;8a;frieda.zambrano;password;;R109;Sprechzimmer
Hedwig;Pereira;hedwig.pereira@lehrer.de;12c;hedwig.pereira;password;StD;R291;Sprechzimmer
Otto;Dumont;otto.dumont@lehrer.de;11c;otto.dumont;password;;R288;Sprechzimmer
Theodor;Villeneuve;theodor.villeneuve@lehrer.de;11c;theodor.villeneuve;password;Mag.;R178;Sprechzimmer
Adelheid;Tremblay;adelheid.tremblay@lehrer.de;6a;adelheid.tremblay;password;;R237;Sprechzimmer
Paula;González;paula.gonzález@lehrer.de;10c;paula.gonzález;password;;R226;Sprechzimmer
Theodor;Leclerc;theodor.leclerc@lehrer.de;9b;theodor.leclerc;password;;R270;Sprechzimmer
Irma;Salcedo;irma.salcedo@lehrer.de;12a;irma.salcedo;password;;R104;Sprechzimmer
Karl;Zambrano;karl.zambrano@lehrer.de;6c;karl.zambrano;password;StD;R113;Sprechzimmer
Dorothea;Navarro;dorothea.navarro@lehrer.de;8a;dorothea.navarro;password;;R225;Sprechzimmer
Erwin;García;erwin.garcía@lehrer.de;9b;erwin.garcía;password;;R191;Sprechzimmer
Irma;Ortega;irma.ortega@lehrer.de;8a;irma.ortega;password;;R263;Sprechzimmer
Irma;Villeneuve;irma.villeneuve@lehrer.de;6b;irma.villeneuve;password;;R216;Sprechzimmer
Gustav;Reyes;gustav.reyes@lehrer.de;5a;gustav.reyes;password;;R137;Sprechzimmer
Theodor;García;theodor.garcía@lehrer.de;7a;theodor.garcía;password;;R121;Sprechzimmer
Lieselotte;Kaufmann;lieselotte.kaufmann@lehrer.de;6b;lieselotte.kaufmann;password;StD;R116;Sprechzimmer
Gustav;Durand;gustav.durand@lehrer.de;10c;gustav.durand;password;Dr.;R291;Sprechzimmer
Otto;Delacroix;otto.delacroix@lehrer.de;6a;otto.delacroix;password;Dr.;R121;Sprechzimmer
Karl;Salcedo;karl.salcedo@lehrer.de;5c;karl.salcedo;password;;R148;Sprechzimmer
Frieda;De la Fuente;frieda.de la fuente@lehrer.de;8c;frieda.de la fuente;password;;R162;Sprechzimmer
Frieda;Dubreuil;frieda.dubreuil@lehrer.de;7a;frieda.dubreuil;password;;R131;Sprechzimmer
Otto;Riquelme;otto.riquelme@lehrer.de;5a;otto.riquelme;password;;R213;Sprechzimmer
Rüdiger;Hollstein;rüdiger.hollstein@lehrer.de;7b;rüdiger.hollstein;password;;R254;Sprechzimmer
Otto;Lemoine;otto.lemoine@lehrer.de;8a;otto.lemoine;password;Mag.;R234;Sprechzimmer
Lieselotte;Lemoine;lieselotte.lemoine@lehrer.de;12a;lieselotte.lemoine;password;;R243;Sprechzimmer
Hedwig;Müllhausen;hedwig.müllhausen@lehrer.de;7b;hedwig.müllhausen;password;;R183;Sprechzimmer
